OBJECTID,BoroCode,BoroCT,BldgArea,ResArea,Res_pct,TotalPop,LowMod_Population,LoMod_pct,Eligibility,CT_text
1,1,1000100,1145016,0,0,0,0,0,Ineligible,1000100
2137,1,1000201,1380513,901258,65.28,2700,2530,93.7,CD Eligible,1000201
1820,1,1000202,3755351,2717079,72.35,6595,4950,75.06,CD Eligible,1000202
2323,1,1000500,3128789,0,0,0,0,0,Ineligible,1000500
2139,1,1000600,6064050,4631858,76.38,10470,9210,87.97,CD Eligible,1000600
1859,1,1002902,3987274,1521944,38.17,4155,2615,62.94,Ineligible,1002902
930,1,1000700,27823816,7738360,27.81,8480,1830,21.58,Ineligible,1000700
1833,1,1000800,4371687,2655584,60.75,9275,7335,79.08,CD Eligible,1000800
935,1,1000900,22819611,1173787,5.14,1880,390,20.74,Ineligible,1000900
792,1,1001001,1271632,1230285,96.75,1435,470,32.75,Ineligible,1001001
936,1,1003001,3311151,1950012,58.89,3720,2020,54.3,CD Eligible,1003001
25,1,1005502,4065344,1952605,48.03,1670,485,29.04,Ineligible,1005502
2231,1,1001002,3158760,3026210,95.8,4805,4635,96.46,CD Eligible,1001002
828,1,1001200,2353291,1838569,78.13,4200,2135,50.83,Ineligible,1001200
1983,1,1001300,26510410,4459320,16.82,4690,790,16.84,Ineligible,1001300
2,1,1001401,2253927,2091529,92.79,2965,1205,40.64,Ineligible,1001401
3,1,1001402,3319524,2194245,66.1,2685,1735,64.62,CD Eligible,1001402
1856,1,1001501,10711832,4790143,44.72,7560,2230,29.5,Ineligible,1001501
947,1,1003002,1744794,1499941,85.97,2915,1465,50.26,Ineligible,1003002
793,1,1001502,16000070,6398538,39.99,7405,1920,25.93,Ineligible,1001502
827,1,1001600,3854193,1765612,45.81,7505,5040,67.16,Ineligible,1001600
4,1,1001800,5295530,2622982,49.53,6460,4535,70.2,Ineligible,1001800
2234,1,1002000,1799648,1658649,92.17,4605,4410,95.77,CD Eligible,1002000
1984,1,1002100,17525553,6117124,34.9,6795,775,11.41,Ineligible,1002100
5,1,1002201,3415114,2819361,82.56,6275,4415,70.36,CD Eligible,1002201
946,1,1002202,1452404,1249491,86.03,1995,860,43.11,Ineligible,1002202
10,1,1003100,9427715,1572118,16.68,1440,350,24.31,Ineligible,1003100
